,areaType,areaCode,areaName,date,age,newCasesBySpecimenDate,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate
2205241,overview,K02000001,United Kingdom,2020-02-09,25_29,0,0,0.0
2205242,overview,K02000001,United Kingdom,2020-02-09,30_34,0,0,0.0
2205243,overview,K02000001,United Kingdom,2020-02-09,35_39,0,0,0.0
2205244,overview,K02000001,United Kingdom,2020-02-09,40_44,0,0,0.0
2205245,overview,K02000001,United Kingdom,2020-02-09,45_49,0,0,0.0
2205246,overview,K02000001,United Kingdom,2020-02-09,50_54,1,5,0.1
2205247,overview,K02000001,United Kingdom,2020-02-09,55_59,0,1,0.0
2205248,overview,K02000001,United Kingdom,2020-02-09,60_64,0,0,0.0
2205249,overview,K02000001,United Kingdom,2020-02-09,65_69,0,0,0.0
2205250,overview,K02000001,United Kingdom,2020-02-09,70_74,0,0,0.0
2205251,overview,K02000001,United Kingdom,2020-02-09,75_79,0,0,0.0
2205252,overview,K02000001,United Kingdom,2020-02-09,80_84,0,0,0.0
2205253,overview,K02000001,United Kingdom,2020-02-09,85_89,0,0,0.0
2205254,overview,K02000001,United Kingdom,2020-02-09,90+,0,0,0.0
2205255,overview,K02000001,United Kingdom,2020-02-09,unassigned,0,0,
2205256,overview,K02000001,United Kingdom,2020-02-09,60+,0,0,0.0
2205257,overview,K02000001,United Kingdom,2020-02-09,0_59,1,6,0.0
2205258,overview,K02000001,United Kingdom,2020-02-10,0_4,0,0,0.0
2205259,overview,K02000001,United Kingdom,2020-02-10,5_9,0,0,0.0
2205260,overview,K02000001,United Kingdom,2020-02-10,10_14,0,0,0.0
2205261,overview,K02000001,United Kingdom,2020-02-10,15_19,0,0,0.0
2205262,overview,K02000001,United Kingdom,2020-02-10,20_24,0,0,0.0
2205263,overview,K02000001,United Kingdom,2020-02-10,25_29,0,0,0.0
2205264,overview,K02000001,United Kingdom,2020-02-10,30_34,0,0,0.0
2205265,overview,K02000001,United Kingdom,2020-02-10,35_39,0,0,0.0
2205266,overview,K02000001,United Kingdom,2020-02-10,40_44,0,0,0.0
2205267,overview,K02000001,United Kingdom,2020-02-10,45_49,0,0,0.0
2205268,overview,K02000001,United Kingdom,2020-02-10,50_54,0,5,0.1
2205269,overview,K02000001,United Kingdom,2020-02-10,55_59,0,1,0.0
2205270,overview,K02000001,United Kingdom,2020-02-10,60_64,0,0,0.0
2205271,overview,K02000001,United Kingdom,2020-02-10,65_69,0,0,0.0
2205272,overview,K02000001,United Kingdom,2020-02-10,70_74,0,0,0.0
2205273,overview,K02000001,United Kingdom,2020-02-10,75_79,0,0,0.0
2205274,overview,K02000001,United Kingdom,2020-02-10,80_84,0,0,0.0
2205275,overview,K02000001,United Kingdom,2020-02-10,85_89,0,0,0.0
2205276,overview,K02000001,United Kingdom,2020-02-10,90+,0,0,0.0
2205277,overview,K02000001,United Kingdom,2020-02-10,unassigned,0,0,
2205278,overview,K02000001,United Kingdom,2020-02-10,60+,0,0,0.0
2205279,overview,K02000001,United Kingdom,2020-02-10,0_59,0,6,0.0
2205280,overview,K02000001,United Kingdom,2020-02-11,0_4,0,0,0.0
2205281,overview,K02000001,United Kingdom,2020-02-11,5_9,0,0,0.0
2205282,overview,K02000001,United Kingdom,2020-02-11,10_14,0,0,0.0
2205283,overview,K02000001,United Kingdom,2020-02-11,15_19,0,0,0.0
2205284,overview,K02000001,United Kingdom,2020-02-11,20_24,0,0,0.0
2205285,overview,K02000001,United Kingdom,2020-02-11,25_29,1,1,0.0
2205286,overview,K02000001,United Kingdom,2020-02-11,30_34,0,0,0.0
2205287,overview,K02000001,United Kingdom,2020-02-11,35_39,0,0,0.0
2205288,overview,K02000001,United Kingdom,2020-02-11,40_44,0,0,0.0
2205289,overview,K02000001,United Kingdom,2020-02-11,45_49,0,0,0.0
2205290,overview,K02000001,United Kingdom,2020-02-11,50_54,0,5,0.1
2205291,overview,K02000001,United Kingdom,2020-02-11,55_59,0,1,0.0
2205292,overview,K02000001,United Kingdom,2020-02-11,60_64,0,0,0.0
2205293,overview,K02000001,United Kingdom,2020-02-11,65_69,0,0,0.0
2205294,overview,K02000001,United Kingdom,2020-02-11,70_74,0,0,0.0
2205295,overview,K02000001,United Kingdom,2020-02-11,75_79,0,0,0.0
2205296,overview,K02000001,United Kingdom,2020-02-11,80_84,0,0,0.0
2205297,overview,K02000001,United Kingdom,2020-02-11,85_89,0,0,0.0
2205298,overview,K02000001,United Kingdom,2020-02-11,90+,0,0,0.0
2205299,overview,K02000001,United Kingdom,2020-02-11,unassigned,0,0,
2205300,overview,K02000001,United Kingdom,2020-02-11,60+,0,0,0.0
2205301,overview,K02000001,United Kingdom,2020-02-11,0_59,1,7,0.0
2205302,overview,K02000001,United Kingdom,2020-02-12,0_4,0,0,0.0
2205303,overview,K02000001,United Kingdom,2020-02-12,5_9,0,0,0.0
2205304,overview,K02000001,United Kingdom,2020-02-12,10_14,0,0,0.0
2205305,overview,K02000001,United Kingdom,2020-02-12,15_19,0,0,0.0
2205306,overview,K02000001,United Kingdom,2020-02-12,20_24,0,0,0.0
2205307,overview,K02000001,United Kingdom,2020-02-12,25_29,0,1,0.0
2205308,overview,K02000001,United Kingdom,2020-02-12,30_34,0,0,0.0
2205309,overview,K02000001,United Kingdom,2020-02-12,35_39,0,0,0.0
2205310,overview,K02000001,United Kingdom,2020-02-12,40_44,0,0,0.0
2205311,overview,K02000001,United Kingdom,2020-02-12,45_49,0,0,0.0
2205312,overview,K02000001,United Kingdom,2020-02-12,50_54,0,4,0.1
2205313,overview,K02000001,United Kingdom,2020-02-12,55_59,0,1,0.0
2205314,overview,K02000001,United Kingdom,2020-02-12,60_64,0,0,0.0
2205315,overview,K02000001,United Kingdom,2020-02-12,65_69,0,0,0.0
2205316,overview,K02000001,United Kingdom,2020-02-12,70_74,0,0,0.0
2205317,overview,K02000001,United Kingdom,2020-02-12,75_79,0,0,0.0
2205318,overview,K02000001,United Kingdom,2020-02-12,80_84,0,0,0.0
2205319,overview,K02000001,United Kingdom,2020-02-12,85_89,0,0,0.0
2205320,overview,K02000001,United Kingdom,2020-02-12,90+,0,0,0.0
2205321,overview,K02000001,United Kingdom,2020-02-12,unassigned,0,0,
2205322,overview,K02000001,United Kingdom,2020-02-12,60+,0,0,0.0
2205323,overview,K02000001,United Kingdom,2020-02-12,0_59,0,6,0.0
2205324,overview,K02000001,United Kingdom,2020-02-13,0_4,0,0,0.0
2205325,overview,K02000001,United Kingdom,2020-02-13,5_9,0,0,0.0
2205326,overview,K02000001,United Kingdom,2020-02-13,10_14,0,0,0.0
2205327,overview,K02000001,United Kingdom,2020-02-13,15_19,0,0,0.0
2205328,overview,K02000001,United Kingdom,2020-02-13,20_24,0,0,0.0
2205329,overview,K02000001,United Kingdom,2020-02-13,25_29,0,1,0.0
2205330,overview,K02000001,United Kingdom,2020-02-13,30_34,0,0,0.0
2205331,overview,K02000001,United Kingdom,2020-02-13,35_39,0,0,0.0
2205332,overview,K02000001,United Kingdom,2020-02-13,40_44,0,0,0.0
2205333,overview,K02000001,United Kingdom,2020-02-13,45_49,0,0,0.0
2205334,overview,K02000001,United Kingdom,2020-02-13,50_54,0,4,0.1
2205335,overview,K02000001,United Kingdom,2020-02-13,55_59,0,1,0.0
2205336,overview,K02000001,United Kingdom,2020-02-13,60_64,0,0,0.0
2205337,overview,K02000001,United Kingdom,2020-02-13,65_69,0,0,0.0
2205338,overview,K02000001,United Kingdom,2020-02-13,70_74,0,0,0.0
2205339,overview,K02000001,United Kingdom,2020-02-13,75_79,0,0,0.0
2205340,overview,K02000001,United Kingdom,2020-02-13,80_84,0,0,0.0
